2019-06-28 0,19.43,71.00,23.04, True
2019-06-28 1,19.63,72.00,23.02, True
2019-06-28 2,18.91,75.00,23.02, True
2019-06-28 3,18.05,82.00,19.11, True
2019-06-28 4,17.16,89.00,16.92, False
2019-06-28 5,16.83,92.00,18.45, False
2019-06-28 6,16.56,95.00,17.30, False
2019-06-28 7,16.24,94.00,13.66, False
2019-06-28 8,15.94,95.00,10.14, False
2019-06-28 9,15.73,96.00,8.12, False
2019-06-28 10,15.52,97.00,8.77, False
2019-06-28 11,15.37,97.00,9.59, False
2019-06-28 12,15.39,95.00,12.25, True
2019-06-28 13,15.71,88.00,14.41, True
2019-06-28 14,17.25,73.00,17.23, True
2019-06-28 15,19.08,51.00,20.57, True
2019-06-28 16,20.08,35.00,24.70, True
2019-06-28 17,21.18,29.00,27.22, True
2019-06-28 18,22.30,25.00,27.50, False
2019-06-28 19,23.25,22.00,27.79, True
2019-06-28 20,24.00,20.00,28.51, True
2019-06-28 21,24.49,20.00,28.51, True
2019-06-28 22,24.56,19.00,27.79, True
2019-06-28 23,24.76,19.00,27.08, True
2019-06-29 0,24.41,21.00,26.07, True
2019-06-29 1,24.24,22.00,23.69, True
2019-06-29 2,23.68,24.00,18.79, True
2019-06-29 3,21.76,32.00,9.79, True
2019-06-29 4,21.00,32.00,6.62, True
2019-06-29 5,20.70,33.00,5.04, True
2019-06-29 6,20.46,36.00,5.09, True
2019-06-29 7,19.82,40.00,6.57, True
2019-06-29 8,18.95,45.00,7.56, True
2019-06-29 9,17.93,52.00,8.05, True
2019-06-29 10,16.54,58.00,8.44, True
2019-06-29 11,15.44,63.00,8.23, True
2019-06-29 12,13.18,84.00,9.66, True
2019-06-29 13,15.21,70.00,12.07, True
2019-06-29 14,17.37,58.00,16.10, True
2019-06-29 15,18.96,48.00,19.37, True
2019-06-29 16,20.01,41.00,22.55, True
2019-06-29 17,21.11,31.00,25.96, True
2019-06-29 18,21.71,26.00,29.85, True
2019-06-29 19,22.17,24.00,31.95, True
2019-06-29 20,22.48,23.00,32.06, True
2019-06-29 21,22.61,26.00,31.91, True
2019-06-29 22,22.46,29.00,31.32, True
2019-06-29 23,22.20,31.00,29.74, True
2019-06-30 0,21.87,31.00,26.99, True
2019-06-30 1,21.36,32.00,22.51, True
2019-06-30 2,20.72,36.00,17.73, True
2019-06-30 3,18.47,46.00,12.10, True
2019-06-30 4,15.35,59.00,12.10, True
2019-06-30 5,13.58,69.00,12.72, True
2019-06-30 6,12.29,78.00,12.66, True
2019-06-30 7,11.27,84.00,13.68, True
2019-06-30 8,10.90,85.00,15.84, True
2019-06-30 9,10.58,84.00,16.95, True
2019-06-30 10,9.74,88.00,16.70, True
2019-06-30 11,8.96,93.00,15.75, True
2019-06-30 12,9.45,91.00,15.33, True
2019-06-30 13,12.56,76.00,20.62, True
2019-06-30 14,14.61,67.00,22.90, True
2019-06-30 15,16.24,59.00,23.68, True
2019-06-30 16,17.65,53.00,23.07, True
2019-06-30 17,19.05,48.00,21.73, True
2019-06-30 18,19.85,46.00,21.12, True
2019-06-30 19,19.40,46.00,20.68, True
2019-06-30 20,19.51,46.00,19.80, True
2019-06-30 21,20.45,42.00,20.00, True
2019-06-30 22,21.37,40.00,20.52, True
2019-06-30 23,21.64,39.00,20.33, True
2019-07-1 0,21.62,38.00,19.67, True
2019-07-1 1,21.26,39.00,20.04, True
2019-07-1 2,20.62,41.00,17.19, True
2019-07-1 3,18.48,49.00,10.14, True
2019-07-1 4,16.73,54.00,8.28, True
2019-07-1 5,15.59,58.00,7.90, True
2019-07-1 6,14.64,61.00,8.71, True
2019-07-1 7,13.67,64.00,9.42, True
2019-07-1 8,12.46,69.00,10.46, True
2019-07-1 9,11.14,74.00,11.02, True
2019-07-1 10,10.15,78.00,11.25, True
2019-07-1 11,9.52,80.00,11.02, True
2019-07-1 12,10.16,78.00,10.74, True
2019-07-1 13,14.69,59.00,13.51, True
2019-07-1 14,17.63,51.00,16.42, True
2019-07-1 15,20.52,42.00,19.38, True
2019-07-1 16,22.26,38.00,21.77, True
2019-07-1 17,23.90,36.00,23.69, True
2019-07-1 18,25.08,35.00,24.95, True
2019-07-1 19,26.06,28.00,27.26, True
2019-07-1 20,26.65,25.00,28.02, True
2019-07-1 21,26.77,24.00,28.48, True
2019-07-1 22,26.49,24.00,29.96, True
2019-07-1 23,25.00,30.00,36.08, True
2019-07-2 0,19.41,57.00,41.66, True
2019-07-2 1,15.64,69.00,38.56, True
2019-07-2 2,14.01,62.00,33.04, True
2019-07-2 3,12.30,62.00,28.04, True
2019-07-2 4,10.09,71.00,21.79, True
2019-07-2 5,9.13,79.00,17.21, True
2019-07-2 6,9.30,75.00,15.63, True
2019-07-2 7,7.34,84.00,14.24, True
2019-07-2 8,7.98,83.00,14.56, True
2019-07-2 9,8.65,78.00,16.24, True
2019-07-2 10,8.66,79.00,16.98, True
2019-07-2 11,8.68,80.00,17.41, True
2019-07-2 12,9.48,77.00,17.77, True
2019-07-2 13,10.66,70.00,20.12, True
2019-07-2 14,12.33,61.00,20.99, True
2019-07-2 15,13.60,54.00,21.32, True
2019-07-2 16,14.81,50.00,22.15, True
2019-07-2 17,16.23,45.00,23.02, True
2019-07-2 18,17.36,41.00,23.16, True
2019-07-2 19,18.45,39.00,22.96, True
2019-07-2 20,19.29,37.00,22.70, True
2019-07-2 21,19.89,35.00,23.01, True
2019-07-2 22,20.18,34.00,23.02, True
2019-07-2 23,20.23,34.00,24.16, True
